top - 15:03:41 up  5:33,  1 user,  load average: 0.11, 0.39, 1.30
Tasks: 280 total,   1 running, 277 sleeping,   0 stopped,   2 zombie
%Cpu(s):  4.3 us,  1.3 sy,  0.1 ni, 89.2 id,  5.2 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,  1384392 free,  1564868 used,   966772 buff/cache
KiB Swap:  4061180 total,  3484468 free,   576712 used.  1894540 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  699 root      20   0   29880   1132    912 S   0.0  0.0   0:00.00 cgmanager
  701 root      20   0  337336   3920   2316 S   0.0  0.1   0:00.03 ModemManag+
  703 root      20   0  166436   3872   3392 S   0.0  0.1   0:01.30 thermald
  705 message+  20   0   60108   3880   2112 S   0.0  0.1   0:02.81 dbus-daemon
  721 root      20   0   89948   4404   3432 S   0.0  0.1   0:00.77 uwsgi
  723 root      20   0  292356   5712   4288 S   0.0  0.1   0:01.11 accounts-d+
  725 root      20   0  449240   7260   5584 S   0.0  0.2   0:00.93 NetworkMan+
  728 root      15  -5  156428  13352   5148 S   0.0  0.3   0:01.20 snapd
  736 avahi     20   0   60888   3640   3068 S   0.0  0.1   0:03.18 avahi-daem+
  794 root      20   0  297708   8044   5032 S   0.0  0.2   0:02.45 polkitd
  817 avahi     20   0   60504    228      0 S   0.0  0.0   0:00.00 avahi-daem+
  829 colord    20   0  301192   5544   3520 S   0.0  0.1   0:00.08 colord
  847 root      20   0  350408   4540   3832 S   0.0  0.1   0:00.15 lightdm
  853 postgres  20   0  294696  16036  15552 S   0.0  0.4   0:00.25 postgres
  854 postgres  20   0  291192  15720  15184 S   0.0  0.4   0:00.24 postgres
  889 postgres  20   0  291192   1592   1168 S   0.0  0.0   0:00.00 postgres
  890 postgres  20   0  291192   3124   2520 S   0.0  0.1   0:00.13 postgres
  891 postgres  20   0  291192   1856   1280 S   0.0  0.0   0:00.12 postgres
  892 postgres  20   0  291984   3492   2260 S   0.0  0.1   0:00.11 postgres
  893 postgres  20   0  146868   2368   1740 S   0.0  0.1   0:00.31 postgres
  904 postgres  20   0  294696   1488    948 S   0.0  0.0   0:00.00 postgres
  905 postgres  20   0  294696   3024   2512 S   0.0  0.1   0:00.13 postgres
  906 postgres  20   0  294696   1500    968 S   0.0  0.0   0:00.12 postgres
  907 postgres  20   0  295124   3140   2332 S   0.0  0.1   0:00.11 postgres
  908 postgres  20   0  149680    876    348 S   0.0  0.0   0:00.30 postgres
  913 root      20   0   16124   2656   1908 S   0.0  0.1   0:00.03 dhclient
  982 root      20   0  457380  60100  45352 S   0.0  1.5   2:17.52 Xorg
  989 root      20   0   65520   3548   3020 S   0.0  0.1   0:00.02 sshd
  995 root      20   0   24044   1724   1372 S   0.0  0.0   0:00.00 vsftpd
 1027 root      20   0  290076   2320   1748 S   0.0  0.1   0:00.00 lwsmd
 1032 root      20   0  298224   3920   2720 S   0.0  0.1   0:00.00 lwregd
 1034 mysql     20   0 1246952 148592   2020 S   0.0  3.8   0:09.68 mysqld
 1046 root      20   0  125112    648      0 S   0.0  0.0   0:00.00 nginx
 1047 www-data  20   0  141168   3724   2528 S   0.0  0.1   0:01.37 nginx
 1048 www-data  20   0  141304   4160   2812 S   0.0  0.1   0:00.00 nginx
 1101 mosquit+  20   0   58236   3632   2392 S   0.0  0.1   0:05.07 mosquitto
 1138 root      20   0   19472    252      0 S   0.0  0.0   0:00.56 irqbalance
 1179 nobody    20   0   52868   3264   2876 S   0.0  0.1   0:00.34 dnsmasq
 1222 lightdm   20   0   45248   4288   3944 S   0.0  0.1   0:00.22 systemd
 1230 whoopsie  20   0  375256   6496   4064 S   0.0  0.2   0:00.13 whoopsie
 1234 root      20   0  633732  24732   9032 S   0.0  0.6   0:24.10 dockerd
 1245 lightdm   20   0   97400   1416      0 S   0.0  0.0   0:00.00 (sd-pam)
 1312 root      20   0   15940   1820   1696 S   0.0  0.0   0:00.00 agetty
 1639 root      20   0  261600   4676   4432 S   0.0  0.1   0:00.02 lightdm
 1662 lightdm    9 -11  555592   3240   3088 S   0.0  0.1   0:06.34 pulseaudio
 1663 rtkit     21   1  183544   2572   2380 S   0.0  0.1   0:00.15 rtkit-daem+
 1665 root      20   0  347116   7792   5136 S   0.0  0.2   0:00.06 upowerd
 1998 root      20   0  240004   3684   2592 S   0.0  0.1   0:06.08 nmbd
 2019 root      20   0  353636   6748   4344 S   0.0  0.2   0:00.04 smbd
 2020 root      20   0  329808   3248   1288 S   0.0  0.1   0:00.00 smbd
 2032 root      20   0  353644   6496   4088 S   0.0  0.2   0:00.06 smbd
 2045 lightdm   20   0  289004   2096   2096 S   0.0  0.1   0:00.00 sd_dummy
 2048 lightdm   20   0  289016   2188   2188 S   0.0  0.1   0:00.00 sd_generic
 2051 lightdm   20   0  523936   3276   3276 S   0.0  0.1   0:00.31 sd_espeak
