top - 10:09:19 up 40 min,  1 user,  load average: 1.84, 1.46, 0.79
Tasks: 274 total,   1 running, 271 sleeping,   0 stopped,   2 zombie
%Cpu(s):  3.5 us,  1.3 sy,  0.2 ni, 79.6 id, 15.4 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,   679720 free,  1534252 used,  1702060 buff/cache
KiB Swap:  4061180 total,  4061108 free,       72 used.  1811336 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  788 root      20   0  166436   8208   7492 S   0.0  0.2   0:00.15 thermald
  789 root      20   0   29008   3028   2752 S   0.0  0.1   0:00.00 cron
  797 syslog    20   0  272112   4580   3604 S   0.0  0.1   0:00.11 rsyslogd
  798 message+  20   0   60096   6768   4592 S   0.0  0.2   0:00.44 dbus-daemon
  827 root      20   0   29880   1556   1340 S   0.0  0.0   0:00.00 cgmanager
  835 avahi     20   0   60636   4492   3844 S   0.0  0.1   0:00.35 avahi-daem+
  837 root      20   0  375552  16864  12180 S   0.0  0.4   0:00.12 NetworkMan+
  871 root      20   0  297708  10908   5912 S   0.0  0.3   0:00.11 polkitd
  890 avahi     20   0   60504    660     12 S   0.0  0.0   0:00.00 avahi-daem+
  896 root      20   0  350408   5892   4488 S   0.0  0.2   0:00.02 lightdm
  925 postgres  20   0  294696  23496  21776 S   0.0  0.6   0:00.03 postgres
  928 postgres  20   0  291192  22940  21236 S   0.0  0.6   0:00.03 postgres
  949 postgres  20   0  291192   3856   2156 S   0.0  0.1   0:00.00 postgres
  950 postgres  20   0  291192   5176   3440 S   0.0  0.1   0:00.01 postgres
  951 postgres  20   0  291192   3856   2156 S   0.0  0.1   0:00.01 postgres
  952 postgres  20   0  292036   6092   3828 S   0.0  0.2   0:00.01 postgres
  953 postgres  20   0  146868   2928   1228 S   0.0  0.1   0:00.03 postgres
  957 postgres  20   0  294696   3932   2216 S   0.0  0.1   0:00.00 postgres
  958 postgres  20   0  294696   5600   3884 S   0.0  0.1   0:00.02 postgres
  959 postgres  20   0  294696   3932   2216 S   0.0  0.1   0:00.00 postgres
  960 postgres  20   0  295124   6504   4544 S   0.0  0.2   0:00.01 postgres
  961 postgres  20   0  149680   3188   1472 S   0.0  0.1   0:00.02 postgres
  968 root      20   0   16124   3700   2844 S   0.0  0.1   0:00.01 dhclient
 1030 root      20   0  380148  62672  50696 S   0.0  1.6   0:15.48 Xorg
 1042 root      20   0   65520   5256   4564 S   0.0  0.1   0:00.00 sshd
 1047 root      20   0   24044   2408   2044 S   0.0  0.1   0:00.00 vsftpd
 1077 root      20   0  290076   3264   2604 S   0.0  0.1   0:00.00 lwsmd
 1085 mysql     20   0 1246952 164512  16380 S   0.0  4.2   0:01.17 mysqld
 1095 root      20   0  298224   6396   5192 S   0.0  0.2   0:00.00 lwregd
 1148 mosquit+  20   0   58368   6520   5108 S   0.0  0.2   0:00.56 mosquitto
 1156 root      20   0  125112   1456     60 S   0.0  0.0   0:00.00 nginx
 1157 www-data  20   0  141168   6904   4988 S   0.0  0.2   0:00.14 nginx
 1158 www-data  20   0  141168   6904   4988 S   0.0  0.2   0:00.00 nginx
 1159 root      20   0   19472    256      0 S   0.0  0.0   0:00.06 irqbalance
 1206 nobody    20   0   52868   4160   3772 S   0.0  0.1   0:00.04 dnsmasq
 1251 whoopsie  20   0  521452  13004   9304 S   0.0  0.3   0:00.00 whoopsie
 1252 root      20   0  633476  47528  28392 S   0.0  1.2   0:02.73 dockerd
 1327 root      20   0   15940   1788   1648 S   0.0  0.0   0:00.00 agetty
 1509 lightdm   20   0   45248   4612   3916 S   0.0  0.1   0:00.02 systemd
 1511 lightdm   20   0   97624   2548     16 S   0.0  0.1   0:00.00 (sd-pam)
 1885 root      20   0  284404  13644   7788 S   0.0  0.3   0:01.77 docker-con+
 1967 root      20   0  240004   6012   4192 S   0.0  0.2   0:00.02 nmbd
 1985 lightdm    9 -11  555592  14344  11104 S   0.0  0.4   0:04.14 pulseaudio
 1991 rtkit     21   1  183544   3008   2720 S   0.0  0.1   0:00.01 rtkit-daem+
 1994 root      20   0  347212   8828   7440 S   0.0  0.2   0:00.03 upowerd
 1998 root      20   0  353636  16168  13296 S   0.0  0.4   0:00.00 smbd
 2019 root      20   0  329808   5648   3192 S   0.0  0.1   0:00.00 smbd
 2131 colord    20   0  301200   9736   7068 S   0.0  0.2   0:00.07 colord
 2136 root      20   0  353636  13092  10176 S   0.0  0.3   0:00.01 smbd
 2452 lightdm   20   0  289004   4788   4156 S   0.0  0.1   0:00.00 sd_dummy
 2455 lightdm   20   0  289016   4728   4092 S   0.0  0.1   0:00.00 sd_generic
 2458 lightdm   20   0  523936   8796   6872 S   0.0  0.2   0:01.06 sd_espeak
 2469 lightdm   20   0  289004   4792   4168 S   0.0  0.1   0:00.00 sd_cicero
 2470 lightdm   20   0       0      0      0 Z   0.0  0.0   0:00.00 sd_cicero
 2473 lightdm   20   0   97216   1996   1744 S   0.0  0.1   0:00.02 speech-dis+
 2561 root      20   0  261584   7796   6108 S   0.0  0.2   0:00.02 lightdm
 2573 naluvjyo  20   0   45248   4648   3952 S   0.0  0.1   0:00.00 systemd
 2575 naluvjyo  20   0  179552   2576     16 S   0.0  0.1   0:00.00 (sd-pam)
 2580 naluvjyo  20   0  205232   5912   5068 S   0.0  0.2   0:00.03 gnome-keyr+
 2582 naluvjyo  20   0   62316   5932   4396 S   0.0  0.2   0:00.14 upstart
 2674 naluvjyo  20   0   32860    288     12 S   0.0  0.0   0:00.01 upstart-ud+
 2675 naluvjyo  20   0   59640   4696   2824 S   0.0  0.1   0:00.36 dbus-daemon
 2687 naluvjyo  20   0   86348   7280   6588 S   0.0  0.2   0:00.01 window-sta+
 2712 naluvjyo  20   0  418992   6196   4792 S   0.0  0.2   0:00.69 ibus-daemon
 2733 naluvjyo  20   0   32796    332     12 S   0.0  0.0   0:00.03 upstart-db+
 2736 naluvjyo  20   0   32876   1808   1376 S   0.0  0.0   0:00.04 upstart-db+
 2741 naluvjyo  20   0   41288   1904   1480 S   0.0  0.0   0:00.00 upstart-fi+
 2755 naluvjyo  20   0  338008   5028   4452 S   0.0  0.1   0:00.00 at-spi-bus+
 2764 naluvjyo  20   0   58752   5184   4400 S   0.0  0.1   0:00.04 dbus-daemon
 2766 naluvjyo  20   0  206868   5596   4948 S   0.0  0.1   0:00.12 at-spi2-re+
 2769 naluvjyo  20   0  166540    804    572 S   0.0  0.0   0:00.04 gpg-agent
 2781 naluvjyo  20   0  274520   5404   4656 S   0.0  0.1   0:00.02 gvfsd
 2786 naluvjyo  20   0  406860   4220   3688 S   0.0  0.1   0:00.00 gvfsd-fuse
