top - 16:49:05 up 20:24,  1 user,  load average: 0.33, 2.20, 4.30
Tasks: 231 total,   2 running, 227 sleeping,   0 stopped,   2 zombie
%Cpu(s): 13.9 us, 16.7 sy,  0.0 ni, 68.9 id,  0.4 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,   711884 free,  2043596 used,  1160552 buff/cache
KiB Swap:  4061180 total,  4015580 free,    45600 used.  1280060 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  728 root      20   0   89948   6080   5800 S   0.0  0.2   0:02.12 uwsgi
  729 syslog    20   0  272112   6208   3276 S   0.0  0.2   0:00.81 rsyslogd
  734 root      20   0    4400   1708   1656 S   0.0  0.0   0:00.33 acpid
  738 root      20   0   29880   1256   1256 S   0.0  0.0   0:00.00 cgmanager
  754 root      20   0   29008   2520   2336 S   0.0  0.1   0:00.12 cron
  756 root      20   0  166436   7572   7268 S   0.0  0.2   0:03.68 thermald
  758 root      20   0   28628   3024   2732 S   0.0  0.1   0:00.30 systemd-lo+
  761 root      20   0  449308  12832   9040 S   0.0  0.3   0:00.87 NetworkMan+
  773 root      15  -5  238356  11844   2008 S   0.0  0.3   0:01.45 snapd
  791 root      20   0  297708   9100   6392 S   0.0  0.2   0:02.24 polkitd
  821 root      20   0  350408   5788   5084 S   0.0  0.1   0:00.05 lightdm
  866 postgres  20   0  291192  20420  18712 S   0.0  0.5   0:00.08 postgres
  867 postgres  20   0  294696  21180  19468 S   0.0  0.5   0:00.07 postgres
  911 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kworker/0:0
  955 root      20   0   65520   5940   5224 S   0.0  0.2   0:00.01 sshd
  957 root      20   0   24044   2224   1860 S   0.0  0.1   0:00.00 vsftpd
  981 whoopsie  20   0  373960  13960  10428 S   0.0  0.4   0:00.04 whoopsie
 1008 root      20   0   15940   1668   1540 S   0.0  0.0   0:00.00 agetty
 1038 naluvjyo  20   0   23232   5812   3288 S   0.0  0.1   0:00.02 bash
 1050 root      20   0  290076   2736   2168 S   0.0  0.1   0:00.00 lwsmd
 1052 mysql     20   0 1246952 137220   2860 S   0.0  3.5   0:25.85 mysqld
 1077 root      20   0  298224   4808   4028 S   0.0  0.1   0:00.00 lwregd
 1134 root      20   0   91144   5740   4828 S   0.0  0.1   0:00.00 sudo
 1135 root      20   0   90692   5520   4648 S   0.0  0.1   0:00.00 su
 1143 root      20   0   21288   3824   3232 S   0.0  0.1   0:00.02 bash
 1145 mosquit+  20   0   58236   5808   4864 S   0.0  0.1   0:15.93 mosquitto
 1179 root      20   0   73284  30524   7500 S   0.0  0.8   0:00.20 python
 1180 root      20   0  125112   1400      0 S   0.0  0.0   0:00.00 nginx
 1181 www-data  20   0  141168   6428   4508 S   0.0  0.2   0:03.75 nginx
 1182 www-data  20   0  141304   7216   5156 S   0.0  0.2   0:00.00 nginx
 1192 root      20   0   19472    252      0 S   0.0  0.0   0:01.76 irqbalance
 1228 postgres  20   0  294696   2912   1196 S   0.0  0.1   0:00.01 postgres
 1229 postgres  20   0  294696   4528   2812 S   0.0  0.1   0:00.37 postgres
 1230 postgres  20   0  294696   3024   1308 S   0.0  0.1   0:00.39 postgres
 1231 postgres  20   0  294988   4516   2556 S   0.0  0.1   0:00.24 postgres
 1232 postgres  20   0  149680   2348    632 S   0.0  0.1   0:00.29 postgres
 1270 postgres  20   0  291192   2944   1236 S   0.0  0.1   0:00.01 postgres
 1271 postgres  20   0  291192   4360   2616 S   0.0  0.1   0:00.38 postgres
